7D_INCIDENCE_100T,7D_INCREMENT,CASES,Date,INCREMENT,VG
48.0,9.0,104,2020-11-29,1.0,Ruwer
69.0,13.0,103,2020-11-26,2.0,Ruwer
75.0,14.0,101,2020-11-24,2.0,Ruwer
91.0,17.0,99,2020-11-23,0.0,Ruwer
193.0,36.0,99,2020-11-22,2.0,Ruwer
209.0,39.0,97,2020-11-17,2.0,Ruwer
204.0,38.0,95,2020-11-16,0.0,Ruwer
257.0,48.0,95,2020-11-13,5.0,Ruwer
236.0,44.0,90,2020-11-12,3.0,Ruwer
257.0,48.0,87,2020-11-11,5.0,Ruwer
241.0,45.0,82,2020-11-09,19.0,Ruwer
139.0,26.0,63,2020-11-04,5.0,Ruwer
112.0,21.0,58,2020-11-03,1.0,Ruwer
107.0,20.0,57,2020-11-02,10.0,Ruwer
53.0,10.0,47,2020-10-30,1.0,Ruwer
48.0,9.0,46,2020-10-29,7.0,Ruwer
10.0,2.0,39,2020-10-26,2.0,Ruwer
26.0,5.0,37,2020-10-23,0.0,Ruwer
32.0,6.0,37,2020-10-22,0.0,Ruwer
37.0,7.0,37,2020-10-21,0.0,Ruwer
42.0,8.0,37,2020-10-20,0.0,Ruwer
42.0,8.0,37,2020-10-19,0.0,Ruwer
48.0,9.0,37,2020-10-16,0.0,Ruwer
48.0,9.0,37,2020-10-15,5.0,Ruwer
32.0,6.0,32,2020-10-14,1.0,Ruwer
26.0,5.0,31,2020-10-12,1.0,Ruwer
21.0,4.0,30,2020-10-09,1.0,Ruwer
21.0,4.0,29,2020-10-08,0.0,Ruwer
21.0,4.0,29,2020-10-07,1.0,Ruwer
16.0,3.0,28,2020-10-06,0.0,Ruwer
16.0,3.0,28,2020-10-05,2.0,Ruwer
5.0,1.0,26,2020-10-01,0.0,Ruwer
5.0,1.0,26,2020-09-30,0.0,Ruwer
5.0,1.0,26,2020-09-29,1.0,Ruwer
5.0,1.0,25,2020-09-28,0.0,Ruwer
5.0,1.0,25,2020-09-27,0.0,Ruwer
5.0,1.0,25,2020-09-25,0.0,Ruwer
5.0,1.0,25,2020-09-24,0.0,Ruwer
5.0,1.0,25,2020-09-23,0.0,Ruwer
5.0,1.0,25,2020-09-22,0.0,Ruwer
5.0,1.0,25,2020-09-21,1.0,Ruwer
0.0,0.0,24,2020-09-18,0.0,Ruwer
0.0,0.0,24,2020-09-17,0.0,Ruwer
0.0,0.0,24,2020-09-16,0.0,Ruwer
0.0,0.0,24,2020-09-15,0.0,Ruwer
0.0,0.0,24,2020-09-14,0.0,Ruwer
0.0,0.0,24,2020-09-11,0.0,Ruwer
5.0,1.0,24,2020-09-08,0.0,Ruwer
10.0,2.0,24,2020-09-08,0.0,Ruwer
10.0,2.0,24,2020-08-28,0.0,Ruwer
16.0,3.0,24,2020-08-27,0.0,Ruwer
16.0,3.0,24,2020-08-26,0.0,Ruwer
16.0,3.0,24,2020-08-24,0.0,Ruwer
16.0,3.0,24,2020-08-21,1.0,Ruwer
10.0,2.0,23,2020-08-20,1.0,Ruwer
5.0,1.0,22,2020-08-19,0.0,Ruwer
5.0,1.0,22,2020-08-18,1.0,Ruwer
0.0,0.0,21,2020-08-13,0.0,Ruwer
0.0,0.0,21,2020-08-12,0.0,Ruwer
0.0,0.0,21,2020-08-10,0.0,Ruwer
0.0,0.0,21,2020-08-06,0.0,Ruwer
5.0,1.0,21,2020-08-05,0.0,Ruwer
5.0,1.0,21,2020-08-04,0.0,Ruwer
5.0,1.0,21,2020-08-03,0.0,Ruwer
5.0,1.0,21,2020-07-31,0.0,Ruwer
5.0,1.0,21,2020-07-30,0.0,Ruwer
5.0,1.0,21,2020-07-29,0.0,Ruwer
5.0,1.0,21,2020-07-15,1.0,Ruwer
0.0,0.0,20,2020-07-10,0.0,Ruwer
0.0,0.0,20,2020-07-09,0.0,Ruwer
0.0,0.0,20,2020-07-07,0.0,Ruwer
0.0,0.0,20,2020-07-06,0.0,Ruwer
5.0,1.0,20,2020-07-02,0.0,Ruwer
16.0,3.0,20,2020-06-30,0.0,Ruwer
16.0,3.0,20,2020-06-29,0.0,Ruwer
16.0,3.0,20,2020-06-26,0.0,Ruwer
16.0,3.0,20,2020-06-25,0.0,Ruwer
0.0,,20,2020-06-24,0.0,Ruwer
0.0,,20,2020-06-22,1.0,Ruwer
0.0,,19,2020-06-19,2.0,Ruwer
0.0,,17,2020-06-18,0.0,Ruwer
0.0,,17,2020-06-15,0.0,Ruwer
0.0,,17,2020-06-12,0.0,Ruwer
0.0,,17,2020-06-01,,Ruwer
